ssn_last_four,state,street
2209,Pennsylvania,9 Luster
7532,California,196 Golden Leaf
7617,Texas,15 Saint Paul
0776,Washington,3 Prairieview
0070,California,965 Warbler
6633,Virginia,4081 Blaine
1230,Louisiana,645 Ridgeway
9431,Florida,0204 Myrtle
3706,Utah,7104 Helena
3766,Massachusetts,59999 Melrose
8113,Arizona,8754 Bluestem
6151,Nevada,90 Orin
5635,Indiana,129 Warner
3336,Arizona,0931 Drewry
6918,Texas,1 Stoughton
7529,New York,923 Buhler
5452,Hawaii,942 La Follette
5732,Nevada,8721 Armistice
7279,New York,504 Superior
9067,Iowa,897 Fair Oaks
6982,California,4 Fair Oaks
2383,Florida,4535 2nd
3480,California,317 Pearson
8201,Kansas,65363 Thierer
8411,New York,561 Hansons
2336,Iowa,6254 Carioca
1385,Texas,8 Merrick
9207,Louisiana,0 Alpine
2652,Montana,94525 Memorial
0409,Ohio,505 Bartelt
7479,California,630 Linden
4968,Tennessee,7 Morningstar
1928,Arizona,5815 Badeau
5880,Massachusetts,8922 Hoepker
5669,Ohio,47463 Old Shore
7490,Kentucky,67 Sunbrook
8189,Connecticut,82740 Center
9267,New Jersey,32617 Sunfield
0253,California,32412 Sachs
3710,District of Columbia,23 Petterle
8374,Arizona,50303 Messerschmidt
4115,Oklahoma,271 Graedel
1852,West Virginia,915 Norway Maple
0428,Texas,5132 Scoville
0961,Oklahoma,49 Sunnyside
6147,Arkansas,4680 Atwood
5119,Oregon,334 Bunting
9418,New York,8 Montana
0917,North Carolina,895 Talmadge
2220,Arizona,46779 Toban
4281,District of Columbia,9621 Lakewood
3904,Maryland,1 Debs
5522,California,219 Twin Pines
9320,California,25642 Sutteridge
5906,Pennsylvania,22066 Eastwood
6665,Texas,0617 Dunning
9909,Texas,071 Homewood
3999,Texas,9285 Macpherson
0712,California,7719 Graceland
5671,Texas,1114 Oakridge
7327,Minnesota,66 Lillian
3149,Delaware,6 Fisk
2621,New York,633 Parkside
4070,Ohio,469 Burning Wood
5077,North Carolina,41037 Melvin
6919,Texas,05 3rd
4372,New York,3 Lawn
9321,Texas,8556 Memorial
2085,North Carolina,478 Blue Bill Park
1725,Texas,5 Ilene
0536,Tennessee,637 Redwing
0468,Louisiana,300 Jackson
1461,California,3 Lakewood Gardens
9355,Ohio,42212 Clyde Gallagher
8744,District of Columbia,4 Saint Paul
4304,Texas,59 Division
7155,North Dakota,130 Morning
9991,California,347 American Ash
0775,Texas,80 Alpine
8983,Colorado,28715 Dorton
0868,California,51937 Ohio
8494,Indiana,52659 Lillian
2621,Minnesota,115 Dexter
5188,California,75 Hanson
4246,Arizona,5032 Carey
1016,Tennessee,18 Nobel
6939,Tennessee,59489 Mesta
2296,Florida,7334 Kinsman
6109,Georgia,93 Judy
8740,Georgia,7 Little Fleur
8794,California,30390 Hoepker
8544,Texas,217 Barby
9427,Pennsylvania,08608 Del Mar
8106,Hawaii,5 Kingsford
3592,Louisiana,5 Ridgeview
0574,Oklahoma,82 Holmberg
5680,Utah,76 Calypso
7686,Arizona,7 Arrowood
5883,Kentucky,40233 Toban
5683,California,817 Schiller
6835,Minnesota,9131 Esker
3400,Alabama,39895 Kipling
1939,Georgia,6 Hooker
5779,Idaho,59 Pond
3422,New Mexico,07 Moulton
0895,New York,87367 Grayhawk
1655,California,55 Schmedeman
1817,North Carolina,23789 Stone Corner
5706,New York,623 Northview
7867,Florida,2 Waubesa
7848,Florida,7579 Moland
1313,Indiana,2 Green Ridge
6672,Texas,4145 Roxbury
1893,Maryland,262 Bultman
2236,Texas,7 Stuart
5416,Missouri,80161 Anderson
8073,Illinois,53 Iowa
7912,Florida,76015 American Ash
5148,Virginia,20 Arizona
5125,Virginia,91891 Anthes
2342,Pennsylvania,0948 Anniversary
1501,Texas,62661 Prairie Rose
5677,Nevada,770 Jenna
0177,Oregon,97 Kedzie
1423,California,2 Hintze
6302,Texas,24 Surrey
1396,Michigan,319 Sheridan
4572,Florida,4 Saint Paul
5506,New York,259 Superior
5199,California,08570 Fair Oaks
8792,Florida,95 Carey
3349,Colorado,7065 Golf
