income,state,street,postal
103672,Hawaii,95246 Colorado,96840
83340,Texas,20202 Lakeland,77040
98252,Michigan,449 Fremont,49518
128828,Florida,0 Steensland,32277
149826,Texas,59 Summer Ridge,77293
112538,Pennsylvania,13403 Bartelt,19191
143164,Texas,826 Vidon,76705
79227,Nebraska,7614 Dunning,68179
107305,California,80 Springs,92186
108739,Maryland,4 Burrows,20709
127517,Texas,08 Orin,79955
76891,Nebraska,49914 Erie,68117
103986,North Carolina,6112 Ohio,28215
148143,Maryland,232 Clemons,21282
72342,Texas,08195 Kenwood,75392
130923,Michigan,647 Pepper Wood,49518
116003,Florida,23 Orin,33647
109494,Missouri,539 Oneill,65110
141263,Pennsylvania,672 Sunnyside,19058
126871,California,9 Memorial,93111
86661,Georgia,7 Northridge,30336
77110,Indiana,54536 Sundown,46406
109200,Texas,93563 Crescent Oaks,88569
145057,Michigan,0469 Muir,49505
76766,New York,923 Buhler,10019
137239,New York,04583 Heffernan,14646
143272,Texas,53890 Green Ridge,75710
84831,Minnesota,0 Lunder,55487
73224,Nevada,7524 Sunnyside,89120
73812,California,8412 Arrowood,95397
122723,Connecticut,8 Spaight,06825
100692,North Carolina,261 West,28210
127565,Washington,3 Prairieview,98121
132176,Tennessee,6928 Ryan,38308
108334,New York,0747 Menomonie,11220
146984,Ohio,3 Sachs,43226
149814,Louisiana,81 Lerdahl,70187
87202,Georgia,6 Hermina,30356
139230,Kansas,9837 Sherman,66667
84703,Idaho,098 Holy Cross,83405
83029,California,122 Luster,94116
102973,Nevada,26866 Pawling,89193
104997,Illinois,1 Hoard,61110
110168,Pennsylvania,4 Waywood,15205
74063,Texas,63 Luster,78410
93858,Florida,2 Waubesa,34238
70357,Florida,29946 Bowman,32627
128417,Alabama,53391 Florence,35405
95159,North Dakota,3 Oak,58207
108898,South Dakota,6 2nd,57198
129322,District of Columbia,25 Cascade,20062
139760,Colorado,571 Schmedeman,80299
92447,Massachusetts,8081 Bunker Hill,02283
80214,Idaho,181 Bayside,83711
147476,Kansas,89 Northview,67236
117489,California,18348 Main,90050
112403,Massachusetts,254 Pleasure,02453
127496,Arizona,500 Corben,85045
138274,Iowa,6254 Carioca,52405
139800,Utah,76 Calypso,84140
94963,Kentucky,319 Reindahl,40515
145573,Wisconsin,13007 Thackeray,53405
81256,Texas,60430 Katie,79968
147354,Florida,9676 Schmedeman,33915
135232,Georgia,5 Havey,31405
140648,California,4 Fair Oaks,92513
110115,District of Columbia,910 Maryland,20046
99135,Texas,5 Ridgeview,79452
147189,Illinois,0125 Corry,60663
104510,Georgia,8409 Norway Maple,30195
100541,Tennessee,04863 Nevada,37914
86505,Colorado,8116 Surrey,80204
105510,Ohio,3108 Schmedeman,45505
76386,Kentucky,316 Mccormick,40266
140944,Texas,61 Duke,78260
147788,Texas,13338 Elka,77095
118435,Texas,8 Merrick,79977
124129,Indiana,135 Mcbride,46231
108964,Virginia,5 Tennessee,22225
89819,Ohio,23788 Annamark,45505
103009,Minnesota,79 Truax,55572
80780,Ohio,12 Pine View,45999
149948,New Mexico,1921 Fulton,87115
148864,California,7719 Graceland,92717
104325,Maryland,74 Dennis,21275
71817,Oklahoma,4687 Ridgeview,73071
104180,Indiana,44 Sachs,46862
130963,Kansas,813 Spenser,67220
140044,Connecticut,95 Sullivan,06538
70660,California,4 Veith,95155
122222,North Carolina,03 Sage,27717
113161,Texas,4392 Bluestem,78405
70725,California,4 Paget,92176
107334,New York,76 Pearson,10131
71766,Georgia,15052 Cherokee,31165
95295,District of Columbia,27211 Oriole,20062
100264,Connecticut,23 Barnett,06905
116732,South Carolina,79174 Westend,29203
101975,Louisiana,84380 Lakewood Gardens,70616
149506,New Jersey,8 Towne,08603
127660,Missouri,29996 Nancy,64142
78086,Texas,8556 Memorial,78410
121692,Alaska,70 Redwing,99709
89763,California,74 Transport,91103
135123,Colorado,51 Mallory,81015
124849,Alaska,1345 Granby,99507
120797,Texas,05 3rd,77245
103978,New York,403 Maryland,10249
81551,Minnesota,16 Lake View,55114
145464,California,4 Laurel,90605
119862,Georgia,93 Judy,30905
88255,Oklahoma,44937 Claremont,74149
84875,Ohio,01 American,45408
111576,California,219 Twin Pines,92645
79735,Texas,5 Muir,75387
125896,New Jersey,9153 4th,07522
123111,New York,88 Mcbride,12305
149370,California,87629 Village Green,95219
83072,California,71 Eastlawn,93591
81255,Florida,32 Tennessee,33906
109879,Virginia,3989 Burrows,23509
118863,Nevada,770 Jenna,89436
106207,Arizona,1 Golf,85305
94887,New York,633 Parkside,10105
141885,North Carolina,895 Talmadge,28247
88320,New York,673 Roxbury,10090
111562,Florida,4535 2nd,33811
102112,Florida,204 Donald,32511
146329,Virginia,5603 Sauthoff,22313
142676,New Mexico,90526 Amoth,87105
139794,New York,018 Delladonna,14210
76492,Illinois,50 West,60630
149621,Connecticut,19803 Tony,06854
109660,Georgia,28952 Green Ridge,31132
136523,South Carolina,6 Kipling,29411
123971,Ohio,56999 Comanche,45470
92890,Alabama,97214 Mayfield,35210
101620,Washington,265 Orin,98206
109755,District of Columbia,962 Northland,20380
113313,Massachusetts,1 Arrowood,02203
125222,Louisiana,300 Jackson,70154
102599,California,7 Saint Paul,92170
131360,Texas,057 Lerdahl,79159
86741,Texas,362 Fuller,78255
129576,Georgia,951 2nd,30195
112817,Georgia,6 Hooker,31405
112639,California,6776 Coleman,90505
87818,Missouri,6 Fair Oaks,65810
113067,North Carolina,06 Myrtle,28235
97217,Texas,445 Ryan,78769
100040,California,78 Pennsylvania,90035
103309,New York,93821 Rockefeller,10024
87081,Illinois,576 High Crossing,60652
82031,Maryland,09 Lawn,21211
99097,Ohio,46069 Eliot,43231
92393,California,374 Roxbury,90040
123577,Texas,2556 Warbler,77493
130664,Georgia,113 Talisman,31217
127718,Michigan,61908 Magdeline,48076
135627,Illinois,311 Kim,60636
115295,Texas,065 Colorado,77713
115277,California,787 Tennessee,95054
99786,Texas,60047 Talisman,75044
121197,Texas,72725 Rutledge,88589
97565,Kansas,25 Sundown,66225
82599,West Virginia,3 Warner,25326
147649,District of Columbia,14 Eliot,20530
